Soybeans exports 1/,,,,,,,,,,,,,,,,,,,,Soybeans exports 1/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank,
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,5.9,8.0,8.3,15.3,15.8,10.4,7.6,11.9,40.7,79.8,74.0,49.9,100.1,118.2,121.6,95.1,92.2,76.3,,Illinois,908.3,939.2,961.0,"1,270.7","1,071.5",986.1,997.9,"1,549.8","2,029.2","2,266.8","2,555.0","2,527.6","3,398.1","2,727.3","3,548.9","2,709.8","3,121.0","3,057.5",,1,
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Iowa,917.8,866.6,964.9,"1,306.2","1,059.8","1,029.1","1,131.5","1,652.2","2,508.8","2,507.5","2,815.2","2,563.0","3,572.0","2,875.0","3,057.6","2,459.6","3,240.6","2,736.9",,2,
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Minnesota,539.5,494.2,592.0,819.6,579.4,551.0,684.8,927.6,"1,637.9","1,413.0","1,679.3","1,561.2","2,344.5","2,010.7","1,912.4","1,566.6","2,072.1","1,849.9",,3,
Arkansas,166.0,179.6,210.3,306.2,290.8,246.5,256.3,331.8,655.5,610.0,656.1,667.8,"1,152.5",940.4,916.4,785.6,867.7,888.6,,Indiana,484.5,552.6,516.7,611.4,679.0,502.7,654.7,893.8,"1,249.5","1,331.9","1,523.3","1,450.1","1,971.0","1,633.2","2,005.4","1,506.2","1,670.2","1,626.1",,4,
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Nebraska,346.6,398.7,376.0,600.3,421.4,467.9,542.7,707.6,"1,131.0","1,379.0","1,248.9","1,601.8","1,789.2","1,480.4","1,712.1","1,367.8","1,718.1","1,532.5",,5,
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Missouri,319.1,355.9,347.7,481.8,433.1,423.5,403.5,648.1,"1,043.8",953.3,"1,236.2","1,251.9","1,303.7","1,299.6","1,461.8","1,072.6","1,193.7","1,403.8",,6,
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ohio,359.3,354.6,372.0,502.2,407.9,429.1,480.5,696.3,"1,040.8","1,023.3","1,244.0","1,092.6","1,760.6","1,606.4","1,498.1","1,212.5","1,389.7","1,295.2",,7,
Delaware,15.3,14.4,10.2,16.2,18.4,10.2,11.9,15.0,24.2,31.8,37.3,32.4,52.3,45.0,46.0,36.7,37.4,35.9,,South Dakota,273.5,256.6,259.3,395.1,247.2,289.1,276.3,439.4,765.4,859.0,836.1,766.2,"1,176.8","1,087.9","1,300.9","1,042.0","1,364.1","1,160.5",,8,
Florida,0.8,0.5,0.6,1.0,1.3,0.7,0.4,0.8,2.2,4.3,4.0,2.5,4.6,6.6,8.3,5.9,5.4,3.3,,North Dakota,105.6,118.6,153.7,284.0,172.6,176.1,249.5,378.1,557.3,573.5,670.0,695.9,"1,146.6",933.6,"1,165.8",771.9,"1,272.9","1,133.8",,9,
Georgia,8.8,7.5,7.3,16.9,18.2,10.1,8.2,29.8,55.4,72.9,61.8,25.4,45.5,61.7,70.2,63.5,58.5,34.7,,Kansas,111.0,138.3,136.9,178.8,196.5,218.2,211.7,367.6,455.1,744.2,904.0,578.0,686.9,761.0,791.5,625.3,"1,000.3",895.9,,10,
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arkansas,166.0,179.6,210.3,306.2,290.8,246.5,256.3,331.8,655.5,610.0,656.1,667.8,"1,152.5",940.4,916.4,785.6,867.7,888.6,,11,
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Mississippi,75.1,66.9,86.6,166.2,139.4,120.8,121.9,171.9,330.4,428.6,459.1,389.4,711.7,625.2,687.4,538.9,587.7,584.0,,12,
Illinois,908.3,939.2,961.0,"1,270.7","1,071.5",986.1,997.9,"1,549.8","2,029.2","2,266.8","2,555.0","2,527.6","3,398.1","2,727.3","3,548.9","2,709.8","3,121.0","3,057.5",,Michigan,141.5,134.2,149.0,201.5,152.8,160.3,189.0,270.4,415.9,377.9,468.0,483.2,677.4,540.2,537.8,463.6,560.0,491.2,,13,
Indiana,484.5,552.6,516.7,611.4,679.0,502.7,654.7,893.8,"1,249.5","1,331.9","1,523.3","1,450.1","1,971.0","1,633.2","2,005.4","1,506.2","1,670.2","1,626.1",,Wisconsin,89.4,70.3,100.1,108.8,89.1,94.6,111.7,158.3,285.9,277.5,417.3,352.7,595.2,424.1,402.9,413.5,536.2,481.8,,14,
Iowa,917.8,866.6,964.9,"1,306.2","1,059.8","1,029.1","1,131.5","1,652.2","2,508.8","2,507.5","2,815.2","2,563.0","3,572.0","2,875.0","3,057.6","2,459.6","3,240.6","2,736.9",,Kentucky,62.3,92.7,106.9,126.9,140.9,122.4,130.4,167.7,198.6,272.5,322.7,306.2,396.9,508.3,544.7,449.1,481.5,479.2,,15,
Kansas,111.0,138.3,136.9,178.8,196.5,218.2,211.7,367.6,455.1,744.2,904.0,578.0,686.9,761.0,791.5,625.3,"1,000.3",895.9,,Tennessee,53.6,69.4,72.5,135.5,107.3,88.0,108.7,91.0,196.3,315.0,267.9,249.9,322.8,395.4,488.0,424.3,370.3,400.6,,16,
Kentucky,62.3,92.7,106.9,126.9,140.9,122.4,130.4,167.7,198.6,272.5,322.7,306.2,396.9,508.3,544.7,449.1,481.5,479.2,,Louisiana,45.7,40.9,47.3,75.8,78.4,62.2,67.4,86.2,152.8,182.6,245.8,202.7,413.1,370.3,464.7,355.2,313.3,340.9,,17,
Louisiana,45.7,40.9,47.3,75.8,78.4,62.2,67.4,86.2,152.8,182.6,245.8,202.7,413.1,370.3,464.7,355.2,313.3,340.9,,North Carolina,73.9,84.0,66.4,136.1,106.6,91.0,104.5,128.2,238.3,220.2,311.5,248.8,384.2,391.9,380.3,337.6,273.9,321.0,,18,
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Pennsylvania,26.0,27.4,21.5,35.4,43.7,33.4,36.5,58.1,92.5,95.2,118.9,114.0,177.1,175.0,172.2,123.3,134.9,130.3,,19,
Maryland,37.3,37.1,25.5,38.9,45.0,31.8,34.6,41.8,64.0,83.4,100.6,89.3,152.0,134.0,129.3,103.6,113.9,112.4,,Virginia,28.9,34.9,27.2,38.5,51.3,38.2,35.0,60.7,80.7,94.2,97.9,94.8,173.3,156.8,151.5,109.8,115.6,115.8,,20,
Massachussetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Maryland,37.3,37.1,25.5,38.9,45.0,31.8,34.6,41.8,64.0,83.4,100.6,89.3,152.0,134.0,129.3,103.6,113.9,112.4,,21,
Michigan,141.5,134.2,149.0,201.5,152.8,160.3,189.0,270.4,415.9,377.9,468.0,483.2,677.4,540.2,537.8,463.6,560.0,491.2,,Oklahoma,10.6,9.1,12.5,19.3,20.4,17.4,12.4,12.7,32.3,52.0,69.4,39.2,28.4,48.7,65.0,52.6,70.0,80.0,,22,
Minnesota,539.5,494.2,592.0,819.6,579.4,551.0,684.8,927.6,"1,637.9","1,413.0","1,679.3","1,561.2","2,344.5","2,010.7","1,912.4","1,566.6","2,072.1","1,849.9",,Alabama,5.9,8.0,8.3,15.3,15.8,10.4,7.6,11.9,40.7,79.8,74.0,49.9,100.1,118.2,121.6,95.1,92.2,76.3,,23,
Mississippi,75.1,66.9,86.6,166.2,139.4,120.8,121.9,171.9,330.4,428.6,459.1,389.4,711.7,625.2,687.4,538.9,587.7,584.0,,South Carolina,19.1,19.1,16.1,28.9,34.6,22.6,21.8,36.1,59.4,76.9,71.1,54.3,86.1,75.0,81.6,62.8,62.6,69.5,,24,
Missouri,319.1,355.9,347.7,481.8,433.1,423.5,403.5,648.1,"1,043.8",953.3,"1,236.2","1,251.9","1,303.7","1,299.6","1,461.8","1,072.6","1,193.7","1,403.8",,New York,8.8,9.5,9.6,16.9,16.6,15.7,22.3,35.8,50.2,53.1,67.5,66.3,96.6,91.1,87.5,64.1,71.9,59.9,,25,
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Delaware,15.3,14.4,10.2,16.2,18.4,10.2,11.9,15.0,24.2,31.8,37.3,32.4,52.3,45.0,46.0,36.7,37.4,35.9,,26,
Nebraska,346.6,398.7,376.0,600.3,421.4,467.9,542.7,707.6,"1,131.0","1,379.0","1,248.9","1,601.8","1,789.2","1,480.4","1,712.1","1,367.8","1,718.1","1,532.5",,Georgia,8.8,7.5,7.3,16.9,18.2,10.1,8.2,29.8,55.4,72.9,61.8,25.4,45.5,61.7,70.2,63.5,58.5,34.7,,27,
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Texas,16.9,14.0,12.9,15.6,17.9,17.0,13.7,12.2,21.0,24.0,28.7,16.1,19.1,17.4,24.2,18.2,20.6,28.2,,28,
New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,New Jersey,6.2,6.2,4.9,7.4,8.8,5.8,6.3,9.1,12.8,15.6,15.8,14.3,25.7,22.8,24.4,18.2,18.5,19.8,,29,
New Jersey,6.2,6.2,4.9,7.4,8.8,5.8,6.3,9.1,12.8,15.6,15.8,14.3,25.7,22.8,24.4,18.2,18.5,19.8,,West Virginia,0.9,1.4,1.3,2.4,1.9,1.6,1.6,2.1,3.0,3.8,3.8,3.6,6.8,6.9,7.6,6.1,6.6,6.5,,30,
New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Florida,0.8,0.5,0.6,1.0,1.3,0.7,0.4,0.8,2.2,4.3,4.0,2.5,4.6,6.6,8.3,5.9,5.4,3.3,,31,
New York,8.8,9.5,9.6,16.9,16.6,15.7,22.3,35.8,50.2,53.1,67.5,66.3,96.6,91.1,87.5,64.1,71.9,59.9,,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32,
North Carolina,73.9,84.0,66.4,136.1,106.6,91.0,104.5,128.2,238.3,220.2,311.5,248.8,384.2,391.9,380.3,337.6,273.9,321.0,,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,33,
North Dakota,105.6,118.6,153.7,284.0,172.6,176.1,249.5,378.1,557.3,573.5,670.0,695.9,"1,146.6",933.6,"1,165.8",771.9,"1,272.9","1,133.8",,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,34,
Ohio,359.3,354.6,372.0,502.2,407.9,429.1,480.5,696.3,"1,040.8","1,023.3","1,244.0","1,092.6","1,760.6","1,606.4","1,498.1","1,212.5","1,389.7","1,295.2",,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,35,
Oklahoma,10.6,9.1,12.5,19.3,20.4,17.4,12.4,12.7,32.3,52.0,69.4,39.2,28.4,48.7,65.0,52.6,70.0,80.0,,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36,
Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,37,
Pennsylvania,26.0,27.4,21.5,35.4,43.7,33.4,36.5,58.1,92.5,95.2,118.9,114.0,177.1,175.0,172.2,123.3,134.9,130.3,,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38,
Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39,
South Carolina,19.1,19.1,16.1,28.9,34.6,22.6,21.8,36.1,59.4,76.9,71.1,54.3,86.1,75.0,81.6,62.8,62.6,69.5,,Massachussetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40,
South Dakota,273.5,256.6,259.3,395.1,247.2,289.1,276.3,439.4,765.4,859.0,836.1,766.2,"1,176.8","1,087.9","1,300.9","1,042.0","1,364.1","1,160.5",,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41,
Tennessee,53.6,69.4,72.5,135.5,107.3,88.0,108.7,91.0,196.3,315.0,267.9,249.9,322.8,395.4,488.0,424.3,370.3,400.6,,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42,
Texas,16.9,14.0,12.9,15.6,17.9,17.0,13.7,12.2,21.0,24.0,28.7,16.1,19.1,17.4,24.2,18.2,20.6,28.2,,New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,43,
Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44,
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45,
Virginia,28.9,34.9,27.2,38.5,51.3,38.2,35.0,60.7,80.7,94.2,97.9,94.8,173.3,156.8,151.5,109.8,115.6,115.8,,Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46,
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47,
West Virginia,0.9,1.4,1.3,2.4,1.9,1.6,1.6,2.1,3.0,3.8,3.8,3.6,6.8,6.9,7.6,6.1,6.6,6.5,,Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,48,
Wisconsin,89.4,70.3,100.1,108.8,89.1,94.6,111.7,158.3,285.9,277.5,417.3,352.7,595.2,424.1,402.9,413.5,536.2,481.8,,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,49,
Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,
United States,"5,258.1","5,402.6","5,677.2","7,959.9","6,667.5","6,273.6","6,935.6","9,992.1","15,430.9","16,423.2","18,610.8","17,590.9","24,770.9","21,570.2","23,866.1","18,861.9","22,841.8","21,451.9",,United States,"5,258.1","5,402.6","5,677.2","7,959.9","6,667.5","6,273.6","6,935.6","9,992.1","15,430.9","16,423.2","18,610.8","17,590.9","24,770.9","21,570.2","23,866.1","18,861.9","22,841.8","21,451.9",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/ Export values are calibrated such that the sum of State export estimates for a commodity equals the total U.S. export value for the commodity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data sources: USDA, Economic Research Service; USDA, Foreign Agricultural Service, Global Agricultural Trade System.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,